code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,has_name,has_brands,core_nutrients_count,completeness_score
0000102081301,Coca cola,coca-cola,"boissons, boissons gazeuses, sodas, sodas au cola","en:beverages,en:carbonated-drinks,en:sodas,en:colas",france,en:france,c,,1728036270,42.0,176.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,Coca cola,2024-10-04T10:04:30.000Z,1,1,5,1.0
0000102102779,Saucisson sec au piment d'espelette,,"viandes et dérivés, viandes, charcuteries, saucissons, saucissons secs","en:meats-and-their-products,en:meats,en:prepared-meats,en:cured-sausages,en:dry-sausages",en:fr,en:france,e,,1728041494,400.0,1674.0,33.3,11.5,0.7,4.7,24.1,,1.88,Saucisson sec au piment d'espelette,2024-10-04T11:31:34.000Z,1,0,5,0.8571428571428571
0000102400257,Chorizo,,,,en:fr,en:france,unknown,,1728041501,434.0,1816.0,36.7,12.7,4.0,3.8,20.9,,1.52,Chorizo,2024-10-04T11:31:41.000Z,1,0,5,0.8571428571428571
0000103226535,Tranform Man,,,,en:es,en:spain,unknown,,1728041552,,,,,,,,,,Tranform Man,2024-10-04T11:32:32.000Z,1,0,0,0.14285714285714285
00001033,Inulin,vom achtergof,,,en:ireland,en:ireland,unknown,,1761387267,208.0,870.0,,,8.0,,,88.0,,Inulin,2025-10-25T10:14:27.000Z,1,1,2,0.5714285714285714
00001045,BIO GOLD-LEINSAMEN Geschrotet,goman as,,,en:germany,en:germany,unknown,,1733460012,,,,,,,,,,BIO GOLD-LEINSAMEN Geschrotet,2024-12-06T04:40:12.000Z,1,1,0,0.2857142857142857
0000105000356,"Lagg's, herbal tea, chamomile * mint",lagg's,"plant-based foods and beverages, beverages, hot beverages, plant-based beverages, teas, tea bags","en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:tea-bags",united states,en:united-states,unknown,,1587573118,0.0,0.0,0.0,,,0.0,0.0,,0.0,"Lagg's, herbal tea, chamomile * mint",2020-04-22T16:31:58.000Z,1,1,4,0.8571428571428571
0000105000417,"Lagg's, dieter's herbal tea",lagg's,"plant-based foods and beverages, beverages, hot beverages, plant-based beverages, teas, tea bags","en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:teas,en:tea-bags",united states,en:united-states,b,1,1587573118,0.0,0.0,0.0,,,0.0,0.0,,0.0,"Lagg's, dieter's herbal tea",2020-04-22T16:31:58.000Z,1,1,4,0.8571428571428571
0000105753061,Oatmeal chocolate chip cookies,,,,en:us,en:united-states,unknown,,1629048015,,,,,,,,,,Oatmeal chocolate chip cookies,2021-08-15T17:20:15.000Z,1,0,0,0.14285714285714285
0000105753078,Bread,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",united states,en:united-states,unknown,3,1587675947,,,,,,,,,,Bread,2020-04-23T21:05:47.000Z,1,0,0,0.14285714285714285
00001065,boisson à l'aloe vera,herbalife,"alimentos y bebidas de origen vegetal, bebidas, comidas preparadas, bebidas de origen vegetal, bebidas a base de frutas, suplementos dietéticos, suplementos de culturismo, en:supplement, en:groceries","en:plant-based-foods-and-beverages,en:beverages,en:meals,en:plant-based-beverages,en:fruit-based-beverages,en:dietary-supplements,en:bodybuilding-supplements,en:supplement,en:groceries","france,espagne","en:france,en:spain",not-applicable,4,1742130992,12.0,51.0,0.0,0.0,0.0,0.1,0.0,0.0,0.04,boisson à l'aloe vera,2025-03-16T13:16:32.000Z,1,1,5,1.0
0000109166454,Oranżada,ludwig,,,en:united states,en:united-states,unknown,,1753318920,44.0,184.0,0.0,,10.5,0.0233,0.0,,0.00931,Oranżada,2025-07-24T01:02:00.000Z,1,1,5,1.0
00001099,Goman Ciabatta 150g,goman as,,,world,en:world,unknown,,1733421349,,,,,,,,,,Goman Ciabatta 150g,2024-12-05T17:55:49.000Z,1,1,0,0.2857142857142857
00001100,Cigarettes Fourrées Chocolat Noisettes,bijou,"snacks, sweet snacks, biscuits and cakes, biscuits, fr:biscuit-patissier-fourres-chocolat-noisette, en:cigarettes","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:non-food-products,en:cigarettes,fr:biscuit-patissier-fourres-chocolat-noisette","frankreich, germany","en:france,en:germany",not-applicable,,1764872145,488.0,2042.0,21.0,16.0,48.0,0.12,6.0,3.5,0.048,Cigarettes Fourrées Chocolat Noisettes,2025-12-04T18:15:45.000Z,1,1,5,1.0
0000110000105,Beef Filet Mignon,good chop,,,en:united states,en:united-states,unknown,,1754252628,159.0,664.0,7.05,2.65,0.0,0.14,22.3,0.0,0.0559,Beef Filet Mignon,2025-08-03T20:23:48.000Z,1,1,5,1.0
0000110001805,Beef burger,good chop,,,us,en:united-states,unknown,,1725478334,0.333333333333333,1.0,15.3333333333333,6.0,,0.166666669150194,18.7333335876465,,0.0666666676600774,Beef burger,2024-09-04T19:32:14.000Z,1,1,4,0.8571428571428571
0000110737049,Lait ecreme,,,,us,en:united-states,unknown,,1731416402,41.0,172.0,,,,,,,,Lait ecreme,2024-11-12T13:00:02.000Z,1,0,1,0.2857142857142857
0000111111231,More Fresh 100% whole wheat bread,more,"plant-based foods and beverages,plant-based foods,cereals and potatoes,breads","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:breads",india,en:india,unknown,4,1766052560,,,,,,,,,,More Fresh 100% whole wheat bread,2025-12-18T10:09:20.000Z,1,1,0,0.2857142857142857
0000111117896,,,,,en:czechia,en:czech-republic,,,1767896316,,,,,,,,,,,2026-01-08T18:18:36.000Z,0,0,0,0.0
0000111474123,nutricia,,,,en:the netherlands,en:netherlands,unknown,,1750260146,,,,,,,,,,nutricia,2025-06-18T15:22:26.000Z,1,0,0,0.14285714285714285
0000112302557,Velouté de légumes façon poêlée,"liebig, pursoup'","aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, plats préparés, soupes, veloutés, soupes de légumes, veloutés de légumes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups",france,en:france,unknown,4,1728041910,,,,,,,,,,Velouté de légumes façon poêlée,2024-10-04T11:38:30.000Z,1,1,0,0.2857142857142857
0000112302579,Velouté de 10 légumes,liebig,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, plats préparés, soupes, veloutés, soupes de légumes, veloutés de légumes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups",france,en:france,unknown,,1728041911,,,,,,,,,,Velouté de 10 légumes,2024-10-04T11:38:31.000Z,1,1,0,0.2857142857142857
0000112302638,Légumes et kiri,liebig,,,en:ireland,en:ireland,unknown,,1728041915,54.0,226.0,3.0,2.0,2.0,,1.0,1.0,,Légumes et kiri,2024-10-04T11:38:35.000Z,1,1,4,0.8571428571428571
0000112302676,Velouté de légumes du soleil,liebig,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, conserves, plats préparés, soupes, veloutés, soupes de légumes, plats préparés en conserve, veloutés de légumes, soupes en conserve, soupes de légumes en conserve","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:canned-meals,en:cream-of-vegetable-soups,en:canned-soups,en:canned-vegetable-soups",en:france,en:france,c,3,1728358004,35.0,146.0,1.7,0.3,1.4,0.67,0.9,0.8,0.268,Velouté de légumes du soleil,2024-10-08T03:26:44.000Z,1,1,5,1.0
0000112302736,,,,,en:france,en:france,unknown,,1728041929,,,,,,,,,,,2024-10-04T11:38:49.000Z,0,0,0,0.0
0000112302737,,liebig,,,en:france,en:france,unknown,,1728041929,,,,,,,,,,,2024-10-04T11:38:49.000Z,0,1,0,0.14285714285714285
0000112307262,Liebig soupe,liebig,"plats préparés, soupes, soupes à réchauffer","en:meals,en:soups,en:reheatable-soups",en:france,en:france,unknown,,1728041935,,,,,,,,,,Liebig soupe,2024-10-04T11:38:55.000Z,1,1,0,0.2857142857142857
0000112307269,Liebig bio velouté potiron & graines de courge,liebig,,,en:france,en:france,unknown,,1728041936,,,,,,,,,,Liebig bio velouté potiron & graines de courge,2024-10-04T11:38:56.000Z,1,1,0,0.2857142857142857
0000112407440,Mouline de 10 legumes,marque repère,,,france,en:france,unknown,,1728041944,,,,,,,,,,Mouline de 10 legumes,2024-10-04T11:39:04.000Z,1,1,0,0.2857142857142857
0000112407452,Délice de 8 légumes,liebig,,,belgique,en:belgium,unknown,,1728041945,,,,,,,,,,Délice de 8 légumes,2024-10-04T11:39:05.000Z,1,1,0,0.2857142857142857
0000112407453,soupe potiron,,plats préparés,en:meals,france,en:france,unknown,,1728041945,,,,,,,,,,soupe potiron,2024-10-04T11:39:05.000Z,1,0,0,0.14285714285714285
0000112407459,Velouté  🥕 🎃,,,,,,unknown,,1728041945,40.0,167.0,1.6,1.0,1.2,,0.7,0.9,,Velouté  🥕 🎃,2024-10-04T11:39:05.000Z,1,0,4,0.7142857142857143
0000112407491,Pursoup’ Velouté 10 Légumes,liebig,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, plats préparés, soupes, veloutés, soupes de légumes, veloutés de légumes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups",france,en:france,unknown,,1728041948,,,,,,,,,,Pursoup’ Velouté 10 Légumes,2024-10-04T11:39:08.000Z,1,1,0,0.2857142857142857
0000112407494,Velouté de Légumes Verts,liebig,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, plats préparés, soupes, veloutés, soupes de légumes, veloutés de légumes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups",france,en:france,unknown,,1728041949,,,,,,,,,,Velouté de Légumes Verts,2024-10-04T11:39:09.000Z,1,1,0,0.2857142857142857
0000112652215,cocakola,,,,en:united kingdom,en:united-kingdom,unknown,,1728034004,,,,,,,,,,cocakola,2024-10-04T09:26:44.000Z,1,0,0,0.14285714285714285
00001127,,,,,en:germany,en:germany,unknown,4,1728034985,,,,,,,,,,,2024-10-04T09:43:05.000Z,0,0,0,0.0
0000114220032,,,,,new caledonia,en:new-caledonia,unknown,,1728036455,,,,,,,,,,,2024-10-04T10:07:35.000Z,0,0,0,0.0
00001161,Limoncino Bottega,,"getränke und getränkezubereitungen, getränke, alkoholische getränke, liköre","en:beverages-and-beverages-preparations,en:beverages,en:alcoholic-beverages,en:liqueurs","frankreich, en:de","en:france,en:germany",not-applicable,,1728042075,,,,,,,,,,Limoncino Bottega,2024-10-04T11:41:15.000Z,1,0,0,0.14285714285714285
